file,type,value,rate
correct_false_abc_5,current_try,1,1.02
correct_false_all_10,current_try,1,1.01
correct_false_politifact_5,current_try,1,1.0
correct_true_abc_5,current_try,1,1.0
correct_true_all_10,current_try,1,0.99
correct_true_all_10,current_try,2,0.01
correct_true_politifact_5,current_try,1,0.98
correct_true_politifact_5,current_try,2,0.02
wrong_false_abc_5,current_try,1,0.98
wrong_false_abc_5,current_try,2,0.02
wrong_false_all_10,current_try,1,0.98
wrong_false_all_10,current_try,2,0.01
wrong_false_politifact_5,current_try,1,1.0
wrong_true_abc_5,current_try,1,1.0
wrong_true_all_10,current_try,1,1.0
wrong_true_politifact_5,current_try,1,1.0
correct_false_abc_5,q_0_age_answer,19-25,0.3
correct_false_abc_5,q_0_age_answer,26-35,0.38
correct_false_abc_5,q_0_age_answer,36-50,0.32
correct_false_abc_5,q_0_age_answer,50-80,0.02
correct_false_all_10,q_0_age_answer,19-25,0.24
correct_false_all_10,q_0_age_answer,26-35,0.41
correct_false_all_10,q_0_age_answer,36-50,0.31
correct_false_all_10,q_0_age_answer,50-80,0.05
correct_false_politifact_5,q_0_age_answer,19-25,0.18
correct_false_politifact_5,q_0_age_answer,26-35,0.44
correct_false_politifact_5,q_0_age_answer,36-50,0.3
correct_false_politifact_5,q_0_age_answer,50-80,0.08
correct_true_abc_5,q_0_age_answer,19-25,0.16
correct_true_abc_5,q_0_age_answer,26-35,0.5
correct_true_abc_5,q_0_age_answer,36-50,0.26
correct_true_abc_5,q_0_age_answer,50-80,0.08
correct_true_all_10,q_0_age_answer,19-25,0.19
correct_true_all_10,q_0_age_answer,26-35,0.48
correct_true_all_10,q_0_age_answer,36-50,0.24
correct_true_all_10,q_0_age_answer,50-80,0.09
correct_true_politifact_5,q_0_age_answer,19-25,0.22
correct_true_politifact_5,q_0_age_answer,26-35,0.46
correct_true_politifact_5,q_0_age_answer,36-50,0.22
correct_true_politifact_5,q_0_age_answer,50-80,0.1
wrong_false_abc_5,q_0_age_answer,19-25,0.16
wrong_false_abc_5,q_0_age_answer,26-35,0.46
wrong_false_abc_5,q_0_age_answer,36-50,0.24
wrong_false_abc_5,q_0_age_answer,50-80,0.14
wrong_false_all_10,q_0_age_answer,19-25,0.2
wrong_false_all_10,q_0_age_answer,26-35,0.47
wrong_false_all_10,q_0_age_answer,36-50,0.19
wrong_false_all_10,q_0_age_answer,50-80,0.13
wrong_false_politifact_5,q_0_age_answer,19-25,0.2
wrong_false_politifact_5,q_0_age_answer,26-35,0.52
wrong_false_politifact_5,q_0_age_answer,36-50,0.14
wrong_false_politifact_5,q_0_age_answer,50-80,0.14
wrong_true_abc_5,q_0_age_answer,19-25,0.12
wrong_true_abc_5,q_0_age_answer,26-35,0.5
wrong_true_abc_5,q_0_age_answer,36-50,0.3
wrong_true_abc_5,q_0_age_answer,50-80,0.08
wrong_true_all_10,q_0_age_answer,19-25,0.19
wrong_true_all_10,q_0_age_answer,26-35,0.46
wrong_true_all_10,q_0_age_answer,36-50,0.25
wrong_true_all_10,q_0_age_answer,50-80,0.1
wrong_true_politifact_5,q_0_age_answer,19-25,0.28
wrong_true_politifact_5,q_0_age_answer,26-35,0.32
wrong_true_politifact_5,q_0_age_answer,36-50,0.36
wrong_true_politifact_5,q_0_age_answer,50-80,0.04
