dimension,value,mean,size
current_try,1,0.3741965105601469,2178
current_try,2,1.4545454545454546,11
current_try,3,1.4545454545454546,11
q_0_age_answer,19-25,0.20995670995670995,462
q_0_age_answer,26-35,0.49569377990430624,1045
q_0_age_answer,36-50,0.3654916512059369,539
q_0_age_answer,50-80,0.22727272727272727,154
q_0_school_answer,4 year college/bachelor degree,0.4344405594405594,1144
q_0_school_answer,High school graduate or GED (etc.),0.22077922077922077,154
q_0_school_answer,Postgrad. or professional degree (etc.),0.3142857142857143,385
q_0_school_answer,"Postgrad. or professional schooling, no degree",0.6859504132231405,121
q_0_school_answer,Some college (etc.),0.2828282828282828,396
q_0_taxes_answer,"10,000 to less than 20,000",0.34965034965034963,143
q_0_taxes_answer,"100,000 to less than 150,000",0.10909090909090909,165
q_0_taxes_answer,"150,000 or more",0.32727272727272727,110
q_0_taxes_answer,"20,000 to less than 30,000",0.6606060606060606,165
q_0_taxes_answer,"30,000 to less than 40,000",0.38484848484848483,330
q_0_taxes_answer,"40,000 to less than 50,000",0.45454545454545453,385
q_0_taxes_answer,"50,000 to less than 75,000",0.38477801268498946,473
q_0_taxes_answer,"75,000 to less than 100,000",0.39002932551319647,341
q_0_taxes_answer,"Less than 10,000",0.19318181818181818,88
q_0_political_views_answer,Conservative,0.2809917355371901,363
q_0_political_views_answer,Liberal,0.32644628099173556,726
q_0_political_views_answer,Moderate,0.3878787878787879,495
q_0_political_views_answer,Very conservative,0.7575757575757576,264
q_0_political_views_answer,Very liberal,0.32954545454545453,352
q_0_consideration_answer,Democrat,0.36462450592885376,1012
q_0_consideration_answer,Independent,0.2437137330754352,517
q_0_consideration_answer,Republican,0.5661881977671451,627
q_0_consideration_answer,Something else,-0.06818181818181818,44
q_0_southern_border_answer,Agree,0.5568181818181818,880
q_0_southern_border_answer,Disagree,0.25573491928632114,1177
q_0_southern_border_answer,No opinion either way,0.3916083916083916,143
q_0_environment_answer,Agree,0.41711229946524064,1870
q_0_environment_answer,Disagree,0.1717171717171717,198
q_0_environment_answer,No opinion either way,0.25,132
q_1_farmers_value,correct value,0.27090909090909093,1100
q_1_farmers_value,wrong value,0.4990909090909091,1100
q_2_marks_value,correct value,0.25577812018489987,649
q_2_marks_value,wrong value,0.43907156673114117,1551
q_3_athletics_value,correct value,0.37662337662337664,847
q_3_athletics_value,wrong value,0.3902439024390244,1353
doc_index,0.0,0.46,200
doc_index,1.0,0.36,200
doc_index,2.0,0.505,200
doc_index,3.0,0.36,200
doc_index,4.0,0.215,200
doc_index,5.0,0.23,200
doc_index,6.0,0.39,200
doc_index,7.0,0.45,200
doc_index,8.0,0.495,200
doc_index,9.0,0.475,200
doc_index,10.0,0.295,200
doc_name,DEM,0.5716666666666667,600
doc_name,HIGH,1.505,200
doc_name,LOW,-1.195,200
doc_name,Labor,0.4318936877076412,301
doc_name,Liberal,0.391304347826087,299
doc_name,REP,0.325,600
doc_date,2006.0,-1.195,200
doc_date,2007.0,1.0666666666666667,30
doc_date,2008.0,1.2692307692307692,260
doc_date,2009.0,0.65,40
doc_date,2010.0,0.46,150
doc_date,2011.0,0.4925925925925926,270
doc_date,2012.0,0.38620689655172413,290
doc_date,2013.0,0.425,600
doc_date,2014.0,0.2875,240
doc_date,2015.0,0.5,120
doc_source,abc,0.4116666666666667,600
doc_source,gold_question,0.15211970074812967,401
doc_source,politifact,0.44954128440366975,1199
doc_accesses,1.0,0.3689864549276039,2141
doc_accesses,2.0,0.75,40
doc_accesses,3.0,1.4210526315789473,19
query_amount,1.0,0.4533176746917205,1703
query_amount,2.0,0.32646048109965636,291
query_amount,3.0,-0.15151515151515152,99
query_amount,4.0,0.021739130434782608,46
query_amount,5.0,0.09090909090909091,22
query_amount,6.0,-0.5714285714285714,7
query_amount,7.0,-1.0,4
query_amount,8.0,-1.6666666666666667,3
query_amount,9.0,-2.0,1
query_amount,10.0,0.0,1
query_amount,11.0,0.0,1
response_position,1.0,0.4093567251461988,855
response_position,2.0,0.5089686098654709,446
response_position,3.0,0.35135135135135137,259
response_position,4.0,0.3592814371257485,167
response_position,5.0,0.4576271186440678,118
response_position,6.0,0.5051546391752577,97
response_position,7.0,-0.014285714285714285,70
response_position,8.0,0.2916666666666667,48
response_position,9.0,0.0,45
response_position,10.0,0.08888888888888889,45
response_position,11.0,-1.0,7
response_position,12.0,0.0,2
response_position,13.0,-1.3333333333333333,3
response_position,15.0,1.0,1
response_position,16.0,1.0,1
response_position,17.0,1.0,2
response_position,20.0,0.0,2
response_position,21.0,2.0,1
response_position,22.0,1.0,1
response_position,24.0,-1.0,1
response_position,25.0,0.0,2
response_position,29.0,0.0,1
response_position,31.0,-1.0,1
response_position,32.0,2.0,1
response_position,43.0,-2.0,1
response_position,44.0,-2.0,1
selected_amount,1.0,0.38236884802596,1849
selected_amount,2.0,0.3665158371040724,221
selected_amount,3.0,0.5454545454545454,66
selected_amount,4.0,0.42857142857142855,21
selected_amount,5.0,0.8333333333333334,6
selected_amount,6.0,0.5,4
selected_amount,8.0,-0.2857142857142857,7
selected_amount,9.0,1.0,2
selected_amount,19.0,2.0,1
selected_amount,21.0,-2.0,1
sim_statem_query,high,0.3532668881506091,903
sim_statem_query,low,0.36260162601626017,615
sim_statem_query,mid,0.4472140762463343,682
