type,val,cat1,cat2,pval
q_0_school_answer,Some college (etc.),wrong_true_all_10,correct_false_all_10,1.0
q_0_school_answer,Some college (etc.),wrong_true_all_10,correct_true_all_10,0.04232182732841154
q_0_school_answer,Some college (etc.),wrong_true_all_10,wrong_false_all_10,0.33729355960687063
q_0_school_answer,Some college (etc.),correct_false_all_10,correct_true_all_10,0.04922547285888984
q_0_school_answer,Some college (etc.),correct_false_all_10,wrong_false_all_10,0.3810301556312118
q_0_school_answer,Some college (etc.),correct_true_all_10,wrong_false_all_10,1.0
doc_index,9,wrong_true_all_10,wrong_false_all_10,0.0013579078055868418
doc_index,9,wrong_true_all_10,correct_false_all_10,1.0
doc_index,9,wrong_true_all_10,correct_true_all_10,0.109883904664001
doc_index,9,wrong_false_all_10,correct_false_all_10,0.04515789099874729
doc_index,9,wrong_false_all_10,correct_true_all_10,0.8268823762550291
doc_index,9,correct_false_all_10,correct_true_all_10,1.0
doc_index,6,wrong_true_all_10,wrong_false_all_10,0.010618456999817949
doc_index,6,wrong_true_all_10,correct_false_all_10,0.0740249388207907
doc_index,6,wrong_true_all_10,correct_true_all_10,0.006090005682678409
doc_index,6,wrong_false_all_10,correct_false_all_10,1.0
doc_index,6,wrong_false_all_10,correct_true_all_10,1.0
doc_index,6,correct_false_all_10,correct_true_all_10,1.0
doc_index,5,wrong_true_all_10,wrong_false_all_10,0.02940931223632169
doc_index,5,wrong_true_all_10,correct_false_all_10,1.0
doc_index,5,wrong_true_all_10,correct_true_all_10,0.07499004814750661
doc_index,5,wrong_false_all_10,correct_false_all_10,0.17836309983632714
doc_index,5,wrong_false_all_10,correct_true_all_10,1.0
doc_index,5,correct_false_all_10,correct_true_all_10,0.5037522992045167
doc_index,2,wrong_true_all_10,wrong_false_all_10,0.7494673371117755
doc_index,2,wrong_true_all_10,correct_false_all_10,0.0436325354868694
doc_index,2,wrong_true_all_10,correct_true_all_10,0.10953516352475554
doc_index,2,wrong_false_all_10,correct_false_all_10,1.0
doc_index,2,wrong_false_all_10,correct_true_all_10,1.0
doc_index,2,correct_false_all_10,correct_true_all_10,1.0
doc_name,REP,wrong_true_all_10,wrong_false_all_10,7.436810657957066e-13
doc_name,REP,wrong_true_all_10,correct_true_all_10,1.2474329231164318e-19
doc_name,REP,wrong_true_all_10,correct_false_all_10,4.6584219227584004e-08
doc_name,REP,wrong_false_all_10,correct_true_all_10,0.007061195463748431
doc_name,REP,wrong_false_all_10,correct_false_all_10,0.2860222839369688
doc_name,REP,correct_true_all_10,correct_false_all_10,1.457080483785506e-05
doc_name,Liberal,wrong_true_all_10,wrong_false_all_10,0.004709233314028886
doc_name,Liberal,wrong_true_all_10,correct_true_all_10,0.0024007036422419273
doc_name,Liberal,wrong_true_all_10,correct_false_all_10,0.20413746720030904
doc_name,Liberal,wrong_false_all_10,correct_true_all_10,1.0
doc_name,Liberal,wrong_false_all_10,correct_false_all_10,1.0
doc_name,Liberal,correct_true_all_10,correct_false_all_10,0.7970682940973811
doc_name,Labor,wrong_true_all_10,wrong_false_all_10,0.002153864641798298
doc_name,Labor,wrong_true_all_10,correct_true_all_10,0.28718844538497457
doc_name,Labor,wrong_true_all_10,correct_false_all_10,0.002153864641798298
doc_name,Labor,wrong_false_all_10,correct_true_all_10,0.5668507267579039
doc_name,Labor,wrong_false_all_10,correct_false_all_10,1.0
doc_name,Labor,correct_true_all_10,correct_false_all_10,0.566850726757904
doc_name,DEM,wrong_true_all_10,wrong_false_all_10,0.5741810883917673
doc_name,DEM,wrong_true_all_10,correct_true_all_10,6.116172364650446e-05
doc_name,DEM,wrong_true_all_10,correct_false_all_10,0.5741810883917673
doc_name,DEM,wrong_false_all_10,correct_true_all_10,0.02993585533006573
doc_name,DEM,wrong_false_all_10,correct_false_all_10,1.0
doc_name,DEM,correct_true_all_10,correct_false_all_10,0.02993585533006573
doc_claimant,Scott Walker,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Ron Desantis,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Kevin Rudd,wrong_true_all_10,wrong_false_all_10,0.002205932323082987
doc_claimant,Kevin Rudd,wrong_true_all_10,correct_true_all_10,1.0
doc_claimant,Kevin Rudd,wrong_true_all_10,correct_false_all_10,1.0
doc_claimant,Kevin Rudd,wrong_false_all_10,correct_true_all_10,0.002205932323082987
doc_claimant,Kevin Rudd,wrong_false_all_10,correct_false_all_10,0.05893964704511541
doc_claimant,Kevin Rudd,correct_true_all_10,correct_false_all_10,1.0
doc_claimant,Josh Mandel,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Joe Hockey,wrong_true_all_10,wrong_false_all_10,2.7557002270523824e-05
doc_claimant,Joe Hockey,wrong_true_all_10,correct_true_all_10,4.646529858626453e-05
doc_claimant,Joe Hockey,wrong_true_all_10,correct_false_all_10,
doc_claimant,Joe Hockey,wrong_false_all_10,correct_true_all_10,
doc_claimant,Joe Hockey,wrong_false_all_10,correct_false_all_10,1.6359027936932997e-05
doc_claimant,Joe Hockey,correct_true_all_10,correct_false_all_10,2.7557002270523824e-05
doc_claimant,Jason Isaac,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Eric Cantor,wrong_true_all_10,wrong_false_all_10,4.646529858626453e-05
doc_claimant,Eric Cantor,wrong_true_all_10,correct_true_all_10,4.646529858626453e-05
doc_claimant,Eric Cantor,wrong_true_all_10,correct_false_all_10,
doc_claimant,Eric Cantor,wrong_false_all_10,correct_true_all_10,
doc_claimant,Eric Cantor,wrong_false_all_10,correct_false_all_10,4.646529858626453e-05
doc_claimant,Eric Cantor,correct_true_all_10,correct_false_all_10,4.646529858626453e-05
doc_claimant,Dean Cannon,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Blue Oregon,wrong_true_all_10,correct_true_all_10,7.744216431044088e-06
doc_claimant,Barack Obama,wrong_true_all_10,wrong_false_all_10,0.21008988611797472
doc_claimant,Barack Obama,wrong_true_all_10,correct_true_all_10,0.003192033030835495
