dimension,type,pval_res,pval_bonf,significant_005,significant_bonf
current_try,correct_false_all_10,0.6034750961171595,0.0125,no,no
current_try,correct_true_all_10,0.6065306597126334,0.0125,no,no
current_try,wrong_false_all_10,0.6003733568875442,0.0125,no,no
current_try,wrong_true_all_10,0.6034750961171595,0.0125,no,no
q_0_age_answer,correct_false_all_10,0.31651354520242114,0.0125,no,no
q_0_age_answer,correct_true_all_10,0.8548713402892791,0.0125,no,no
q_0_age_answer,wrong_false_all_10,0.08768069385600585,0.0125,no,no
q_0_age_answer,wrong_true_all_10,0.6745000598957696,0.0125,no,no
q_0_school_answer,correct_false_all_10,0.3171976629151816,0.0125,no,no
q_0_school_answer,correct_true_all_10,0.344037348637062,0.0125,no,no
q_0_school_answer,wrong_false_all_10,0.8340766454103716,0.0125,no,no
q_0_school_answer,wrong_true_all_10,0.4289148016081492,0.0125,no,no
q_0_taxes_answer,correct_false_all_10,0.423642674267041,0.0125,no,no
q_0_taxes_answer,correct_true_all_10,0.5443621109604743,0.0125,no,no
q_0_taxes_answer,wrong_false_all_10,0.18709657213939557,0.0125,no,no
q_0_taxes_answer,wrong_true_all_10,0.7867532353868685,0.0125,no,no
q_0_political_views_answer,correct_false_all_10,0.6577624112318297,0.0125,no,no
q_0_political_views_answer,correct_true_all_10,0.38117593825919077,0.0125,no,no
q_0_political_views_answer,wrong_false_all_10,0.37727247994191393,0.0125,no,no
q_0_political_views_answer,wrong_true_all_10,0.5109553176422725,0.0125,no,no
q_0_consideration_answer,correct_false_all_10,0.48064943502986013,0.0125,no,no
q_0_consideration_answer,correct_true_all_10,0.6035129343937617,0.0125,no,no
q_0_consideration_answer,wrong_false_all_10,0.8156257743281145,0.0125,no,no
q_0_consideration_answer,wrong_true_all_10,0.9812842819677143,0.0125,no,no
q_0_southern_border_answer,correct_false_all_10,0.43077769796390675,0.0125,no,no
q_0_southern_border_answer,correct_true_all_10,0.1209124301509811,0.0125,no,no
q_0_southern_border_answer,wrong_false_all_10,0.41622320964404225,0.0125,no,no
q_0_southern_border_answer,wrong_true_all_10,0.5512285969511255,0.0125,no,no
q_0_environment_answer,correct_false_all_10,0.15092409284101924,0.0125,no,no
q_0_environment_answer,correct_true_all_10,0.8500855388213171,0.0125,no,no
q_0_environment_answer,wrong_false_all_10,0.22134868614839076,0.0125,no,no
q_0_environment_answer,wrong_true_all_10,0.7821164519497117,0.0125,no,no
q_1_farmers_value,correct_false_all_10,0.7664438322361059,0.0125,no,no
