dimension,value_1,value_2,pval_res,pval_bonf,significant_005,significant_bonf
current_try,correct_false_all_10,correct_true_all_10,1.0,0.008333333333333333,no,no
current_try,correct_false_all_10,wrong_false_all_10,1.0,0.008333333333333333,no,no
current_try,correct_false_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
current_try,correct_true_all_10,wrong_false_all_10,1.0,0.008333333333333333,no,no
current_try,correct_true_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
current_try,wrong_false_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
q_0_age_answer,correct_false_all_10,correct_true_all_10,0.9992130160022316,0.008333333333333333,no,no
q_0_age_answer,correct_false_all_10,wrong_false_all_10,0.8554036537774186,0.008333333333333333,no,no
q_0_age_answer,correct_false_all_10,wrong_true_all_10,0.9982716152679663,0.008333333333333333,no,no
q_0_age_answer,correct_true_all_10,wrong_false_all_10,0.9999518501555591,0.008333333333333333,no,no
q_0_age_answer,correct_true_all_10,wrong_true_all_10,0.9999999999999999,0.008333333333333333,no,no
q_0_age_answer,wrong_false_all_10,wrong_true_all_10,0.9999999749862151,0.008333333333333333,no,no
q_0_school_answer,correct_false_all_10,correct_true_all_10,0.441759845297252,0.008333333333333333,no,no
q_0_school_answer,correct_false_all_10,wrong_false_all_10,0.37565825704735,0.008333333333333333,no,no
q_0_school_answer,correct_false_all_10,wrong_true_all_10,0.9999999970450706,0.008333333333333333,no,no
q_0_school_answer,correct_true_all_10,wrong_false_all_10,0.9986052877435028,0.008333333333333333,no,no
q_0_school_answer,correct_true_all_10,wrong_true_all_10,0.8154147124661313,0.008333333333333333,no,no
q_0_school_answer,wrong_false_all_10,wrong_true_all_10,0.6651804513701187,0.008333333333333333,no,no
q_0_taxes_answer,correct_false_all_10,correct_true_all_10,0.19487333333281165,0.008333333333333333,no,no
q_0_taxes_answer,correct_false_all_10,wrong_false_all_10,0.9244993392944477,0.008333333333333333,no,no
q_0_taxes_answer,correct_false_all_10,wrong_true_all_10,0.9999998755615177,0.008333333333333333,no,no
q_0_taxes_answer,correct_true_all_10,wrong_false_all_10,0.7574319966411545,0.008333333333333333,no,no
q_0_taxes_answer,correct_true_all_10,wrong_true_all_10,0.36818778606286096,0.008333333333333333,no,no
q_0_taxes_answer,wrong_false_all_10,wrong_true_all_10,0.905239641802408,0.008333333333333333,no,no
q_0_political_views_answer,correct_false_all_10,correct_true_all_10,0.28492210841759213,0.008333333333333333,no,no
q_0_political_views_answer,correct_false_all_10,wrong_false_all_10,0.6449505013892483,0.008333333333333333,no,no
q_0_political_views_answer,correct_false_all_10,wrong_true_all_10,0.999991464056618,0.008333333333333333,no,no
q_0_political_views_answer,correct_true_all_10,wrong_false_all_10,0.999995441479879,0.008333333333333333,no,no
q_0_political_views_answer,correct_true_all_10,wrong_true_all_10,0.36818778606286096,0.008333333333333333,no,no
q_0_political_views_answer,wrong_false_all_10,wrong_true_all_10,0.701309735488705,0.008333333333333333,no,no
q_0_consideration_answer,correct_false_all_10,correct_true_all_10,0.6221875552093596,0.008333333333333333,no,no
q_0_consideration_answer,correct_false_all_10,wrong_false_all_10,0.9162213752228046,0.008333333333333333,no,no
q_0_consideration_answer,correct_false_all_10,wrong_true_all_10,0.9595927410875273,0.008333333333333333,no,no
q_0_consideration_answer,correct_true_all_10,wrong_false_all_10,0.9590713253800404,0.008333333333333333,no,no
q_0_consideration_answer,correct_true_all_10,wrong_true_all_10,0.9684099261397212,0.008333333333333333,no,no
q_0_consideration_answer,wrong_false_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
q_0_southern_border_answer,correct_false_all_10,correct_true_all_10,0.12060846165510297,0.008333333333333333,no,no
q_0_southern_border_answer,correct_false_all_10,wrong_false_all_10,0.339689922437604,0.008333333333333333,no,no
q_0_southern_border_answer,correct_false_all_10,wrong_true_all_10,0.9954838354321376,0.008333333333333333,no,no
q_0_southern_border_answer,correct_true_all_10,wrong_false_all_10,0.999998670379544,0.008333333333333333,no,no
q_0_southern_border_answer,correct_true_all_10,wrong_true_all_10,0.36818778606286096,0.008333333333333333,no,no
q_0_southern_border_answer,wrong_false_all_10,wrong_true_all_10,0.7147558451626954,0.008333333333333333,no,no
q_0_environment_answer,correct_false_all_10,correct_true_all_10,0.9991554026997914,0.008333333333333333,no,no
q_0_environment_answer,correct_false_all_10,wrong_false_all_10,0.4493738588463022,0.008333333333333333,no,no
q_0_environment_answer,correct_false_all_10,wrong_true_all_10,0.9991554026997914,0.008333333333333333,no,no
q_0_environment_answer,correct_true_all_10,wrong_false_all_10,0.948792960016551,0.008333333333333333,no,no
q_0_environment_answer,correct_true_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
q_0_environment_answer,wrong_false_all_10,wrong_true_all_10,0.9447299268696606,0.008333333333333333,no,no
q_1_farmers_value,correct_false_all_10,correct_true_all_10,1.0,0.008333333333333333,no,no
q_1_farmers_value,correct_false_all_10,wrong_false_all_10,0.9851727473311733,0.008333333333333333,no,no
q_1_farmers_value,correct_false_all_10,wrong_true_all_10,0.9999989894844648,0.008333333333333333,no,no
q_1_farmers_value,correct_true_all_10,wrong_false_all_10,0.9679397297009559,0.008333333333333333,no,no
q_1_farmers_value,correct_true_all_10,wrong_true_all_10,0.999998821968263,0.008333333333333333,no,no
q_1_farmers_value,wrong_false_all_10,wrong_true_all_10,0.9999999999935439,0.008333333333333333,no,no
q_2_marks_value,correct_false_all_10,correct_true_all_10,0.9611616720475198,0.008333333333333333,no,no
q_2_marks_value,correct_false_all_10,wrong_false_all_10,0.9999997902457675,0.008333333333333333,no,no
q_2_marks_value,correct_false_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
q_2_marks_value,correct_true_all_10,wrong_false_all_10,0.999999847461376,0.008333333333333333,no,no
q_2_marks_value,correct_true_all_10,wrong_true_all_10,0.9684099261397212,0.008333333333333333,no,no
q_2_marks_value,wrong_false_all_10,wrong_true_all_10,0.9999962814107419,0.008333333333333333,no,no
q_3_athletics_value,correct_false_all_10,correct_true_all_10,0.9070789662604399,0.008333333333333333,no,no
q_3_athletics_value,correct_false_all_10,wrong_false_all_10,0.5173501248185781,0.008333333333333333,no,no
q_3_athletics_value,correct_false_all_10,wrong_true_all_10,0.6991113624059497,0.008333333333333333,no,no
q_3_athletics_value,correct_true_all_10,wrong_false_all_10,0.999997525519274,0.008333333333333333,no,no
q_3_athletics_value,correct_true_all_10,wrong_true_all_10,0.9999999999999999,0.008333333333333333,no,no
q_3_athletics_value,wrong_false_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
doc_index,correct_false_all_10,correct_true_all_10,0.7769072146695719,0.008333333333333333,no,no
doc_index,correct_false_all_10,wrong_false_all_10,0.24401386619469856,0.008333333333333333,no,no
doc_index,correct_false_all_10,wrong_true_all_10,0.4534589823546842,0.008333333333333333,no,no
doc_index,correct_true_all_10,wrong_false_all_10,0.30104916009552596,0.008333333333333333,no,no
doc_index,correct_true_all_10,wrong_true_all_10,0.05390207893129876,0.008333333333333333,no,no
doc_index,wrong_false_all_10,wrong_true_all_10,0.0038908762053245782,0.008333333333333333,yes,yes
doc_name,correct_false_all_10,correct_true_all_10,0.9944575548290717,0.008333333333333333,no,no
doc_name,correct_false_all_10,wrong_false_all_10,1.0,0.008333333333333333,no,no
doc_name,correct_false_all_10,wrong_true_all_10,0.41752365281777043,0.008333333333333333,no,no
doc_name,correct_true_all_10,wrong_false_all_10,1.0,0.008333333333333333,no,no
doc_name,correct_true_all_10,wrong_true_all_10,0.05244755244755244,0.008333333333333333,no,no
doc_name,wrong_false_all_10,wrong_true_all_10,0.16782134274394334,0.008333333333333333,no,no
doc_date,correct_false_all_10,correct_true_all_10,0.41752365281777043,0.008333333333333333,no,no
doc_date,correct_false_all_10,wrong_false_all_10,0.9944575548290717,0.008333333333333333,no,no
doc_date,correct_false_all_10,wrong_true_all_10,0.16782134274394334,0.008333333333333333,no,no
doc_date,correct_true_all_10,wrong_false_all_10,0.7869297884777761,0.008333333333333333,no,no
doc_date,correct_true_all_10,wrong_true_all_10,1.0,0.008333333333333333,no,no
doc_date,wrong_false_all_10,wrong_true_all_10,0.7869297884777761,0.008333333333333333,no,no
doc_source,correct_false_all_10,correct_true_all_10,1.0,0.008333333333333333,no,no
doc_source,correct_false_all_10,wrong_false_all_10,1.0,0.008333333333333333,no,no
doc_source,correct_false_all_10,wrong_true_all_10,0.7869297884777761,0.008333333333333333,no,no
doc_source,correct_true_all_10,wrong_false_all_10,1.0,0.008333333333333333,no,no
doc_source,correct_true_all_10,wrong_true_all_10,0.7869297884777761,0.008333333333333333,no,no
doc_source,wrong_false_all_10,wrong_true_all_10,0.41752365281777043,0.008333333333333333,no,no
doc_overall-truthfulness_value,correct_false_all_10,correct_true_all_10,1.27675647831893e-14,0.008333333333333333,yes,yes
doc_overall-truthfulness_value,correct_false_all_10,wrong_false_all_10,3.6917150447735025e-09,0.008333333333333333,yes,yes
doc_overall-truthfulness_value,correct_false_all_10,wrong_true_all_10,0.009084355186725457,0.008333333333333333,yes,no
doc_overall-truthfulness_value,correct_true_all_10,wrong_false_all_10,0.03188847744894108,0.008333333333333333,yes,no
doc_overall-truthfulness_value,correct_true_all_10,wrong_true_all_10,1.605714367105695e-05,0.008333333333333333,yes,yes
doc_overall-truthfulness_value,wrong_false_all_10,wrong_true_all_10,0.009167493314761632,0.008333333333333333,yes,no
doc_confidence_value,correct_false_all_10,correct_true_all_10,9.877877000274982e-05,0.008333333333333333,yes,yes
doc_confidence_value,correct_false_all_10,wrong_false_all_10,0.3178018157355881,0.008333333333333333,no,no
doc_confidence_value,correct_false_all_10,wrong_true_all_10,0.9996996106563047,0.008333333333333333,no,no
doc_confidence_value,correct_true_all_10,wrong_false_all_10,0.08924890973277655,0.008333333333333333,no,no
doc_confidence_value,correct_true_all_10,wrong_true_all_10,0.002219935934558366,0.008333333333333333,yes,yes
doc_confidence_value,wrong_false_all_10,wrong_true_all_10,0.8052108861942997,0.008333333333333333,no,no
doc_correctness_value,correct_false_all_10,correct_true_all_10,2.7659841084215486e-10,0.008333333333333333,yes,yes
doc_correctness_value,correct_false_all_10,wrong_false_all_10,0.0006519565256717375,0.008333333333333333,yes,yes
doc_correctness_value,correct_false_all_10,wrong_true_all_10,0.06672420012035063,0.008333333333333333,no,no
doc_correctness_value,correct_true_all_10,wrong_false_all_10,0.0605018745583088,0.008333333333333333,no,no
doc_correctness_value,correct_true_all_10,wrong_true_all_10,0.00012016164291946694,0.008333333333333333,yes,yes
doc_correctness_value,wrong_false_all_10,wrong_true_all_10,0.36818778606286107,0.008333333333333333,no,no
doc_neutrality_value,correct_false_all_10,correct_true_all_10,5.993124329028987e-07,0.008333333333333333,yes,yes
doc_neutrality_value,correct_false_all_10,wrong_false_all_10,0.0022146232102486785,0.008333333333333333,yes,yes
doc_neutrality_value,correct_false_all_10,wrong_true_all_10,0.0020378647748345857,0.008333333333333333,yes,yes
doc_neutrality_value,correct_true_all_10,wrong_false_all_10,0.016181816090548473,0.008333333333333333,yes,no
doc_neutrality_value,correct_true_all_10,wrong_true_all_10,0.36818778606286096,0.008333333333333333,no,no
doc_neutrality_value,wrong_false_all_10,wrong_true_all_10,0.8115887986482042,0.008333333333333333,no,no
doc_comprehensibility_value,correct_false_all_10,correct_true_all_10,0.04257714124682099,0.008333333333333333,yes,no
doc_comprehensibility_value,correct_false_all_10,wrong_false_all_10,0.9936198247111492,0.008333333333333333,no,no
doc_comprehensibility_value,correct_false_all_10,wrong_true_all_10,0.9568375843492697,0.008333333333333333,no,no
doc_comprehensibility_value,correct_true_all_10,wrong_false_all_10,0.26763884173281505,0.008333333333333333,no,no
doc_comprehensibility_value,correct_true_all_10,wrong_true_all_10,0.07822115797841851,0.008333333333333333,no,no
doc_comprehensibility_value,wrong_false_all_10,wrong_true_all_10,0.9998855886135843,0.008333333333333333,no,no
