dimension,value_1,value_2,pval_res,pval_bonf,significant_005,significant_bonf
current_try,1,2,0.20678757516741375,0.05,no,no
q_0_age_answer,26-35,50-80,0.9251157944830679,0.008333333333333333,no,no
q_0_age_answer,26-35,19-25,0.06977810976501553,0.008333333333333333,no,no
q_0_age_answer,26-35,36-50,0.2802780284246833,0.008333333333333333,no,no
q_0_age_answer,50-80,19-25,0.2621706876454536,0.008333333333333333,no,no
q_0_age_answer,50-80,36-50,0.5528952735263755,0.008333333333333333,no,no
q_0_age_answer,19-25,36-50,0.4628135267466178,0.008333333333333333,no,no
q_0_school_answer,Some college (etc.),Postgrad. or professional degree (etc.),0.3219378731380642,0.005,no,no
q_0_school_answer,Some college (etc.),4 year college/bachelor degree,0.1678789822065191,0.005,no,no
q_0_school_answer,Some college (etc.),High school graduate or GED (etc.),0.8214489180279826,0.005,no,no
q_0_school_answer,Some college (etc.),"Postgrad. or professional schooling, no degree",0.00028077201065985607,0.005,yes,yes
q_0_school_answer,Postgrad. or professional degree (etc.),4 year college/bachelor degree,0.795786836134708,0.005,no,no
q_0_school_answer,Postgrad. or professional degree (etc.),High school graduate or GED (etc.),0.666229942089998,0.005,no,no
q_0_school_answer,Postgrad. or professional degree (etc.),"Postgrad. or professional schooling, no degree",0.0013461030620597195,0.005,yes,yes
q_0_school_answer,4 year college/bachelor degree,High school graduate or GED (etc.),0.4971547677316782,0.005,no,no
q_0_school_answer,4 year college/bachelor degree,"Postgrad. or professional schooling, no degree",0.001812968252946364,0.005,yes,yes
q_0_school_answer,High school graduate or GED (etc.),"Postgrad. or professional schooling, no degree",0.003974811282452125,0.005,yes,yes
q_0_taxes_answer,"30,000 to less than 40,000","50,000 to less than 75,000",0.24073884768557863,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","100,000 to less than 150,000",0.7399753369203081,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","75,000 to less than 100,000",0.6617198522228193,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","10,000 to less than 20,000",0.8293410254118727,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","40,000 to less than 50,000",0.8561052915382464,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","Less than 10,000",0.8402089879110454,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","20,000 to less than 30,000",0.7126599922169536,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","150,000 or more",0.9624674005886964,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","100,000 to less than 150,000",0.18542447445652188,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","75,000 to less than 100,000",0.4687953071497495,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","10,000 to less than 20,000",0.4433424312505675,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","40,000 to less than 50,000",0.35717324930855865,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","Less than 10,000",0.47526554479376115,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","20,000 to less than 30,000",0.6207812022895565,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","150,000 or more",0.3859776200336732,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","75,000 to less than 100,000",0.48473446850665847,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","10,000 to less than 20,000",0.6108801737395175,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","40,000 to less than 50,000",0.6460363938959068,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","Less than 10,000",0.9800133075339966,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","20,000 to less than 30,000",0.5389004335574274,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","150,000 or more",0.7393115832504891,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","10,000 to less than 20,000",0.8954383681116673,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","40,000 to less than 50,000",0.854048085561597,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","Less than 10,000",0.7047777267461128,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","20,000 to less than 30,000",0.9597536546533496,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","150,000 or more",0.8001892859438557,0.001388888888888889,no,no
q_0_taxes_answer,"10,000 to less than 20,000","40,000 to less than 50,000",0.9076265473358006,0.001388888888888889,no,no
q_0_taxes_answer,"10,000 to less than 20,000","Less than 10,000",0.7000289930819845,0.001388888888888889,no,no
q_0_taxes_answer,"10,000 to less than 20,000","20,000 to less than 30,000",0.8839076818146019,0.001388888888888889,no,no
q_0_taxes_answer,"10,000 to less than 20,000","150,000 or more",0.8680765451467966,0.001388888888888889,no,no
q_0_taxes_answer,"40,000 to less than 50,000","Less than 10,000",0.7242838223446908,0.001388888888888889,no,no
q_0_taxes_answer,"40,000 to less than 50,000","20,000 to less than 30,000",0.8043466133349447,0.001388888888888889,no,no
q_0_taxes_answer,"40,000 to less than 50,000","150,000 or more",0.9867318641068332,0.001388888888888889,no,no
q_0_taxes_answer,"Less than 10,000","20,000 to less than 30,000",0.6705970775270765,0.001388888888888889,no,no
q_0_taxes_answer,"Less than 10,000","150,000 or more",0.7414332021716763,0.001388888888888889,no,no
q_0_taxes_answer,"20,000 to less than 30,000","150,000 or more",0.7761283420446756,0.001388888888888889,no,no
q_0_political_views_answer,Very liberal,Liberal,0.4672910380534011,0.005,no,no
q_0_political_views_answer,Very liberal,Moderate,0.974437260066664,0.005,no,no
q_0_political_views_answer,Very liberal,Conservative,0.24191694581643752,0.005,no,no
q_0_political_views_answer,Very liberal,Very conservative,0.13142964441981247,0.005,no,no
q_0_political_views_answer,Liberal,Moderate,0.3436289416380084,0.005,no,no
q_0_political_views_answer,Liberal,Conservative,0.45301692160501494,0.005,no,no
q_0_political_views_answer,Liberal,Very conservative,0.006296785124096181,0.005,yes,no
q_0_political_views_answer,Moderate,Conservative,0.11145059130861797,0.005,no,no
q_0_political_views_answer,Moderate,Very conservative,0.044448584588686536,0.005,yes,no
q_0_political_views_answer,Conservative,Very conservative,0.002065512176878171,0.005,yes,yes
q_0_consideration_answer,Independent,Republican,0.04217414750319256,0.008333333333333333,yes,no
q_0_consideration_answer,Independent,Democrat,0.6467259447446119,0.008333333333333333,no,no
q_0_consideration_answer,Independent,Something else,0.6068567590522447,0.008333333333333333,no,no
