col,value,url_speaksabout_mean,url_speaksabout_median,fre_mean,size_speak,size_fre
current_try,2,-0.5,-0.5,40.52,2.0,2.0
current_try,1,0.18,1.0,56.57,398.0,40.0
q_0_age_answer,50-80,0.03,0.0,56.36,37.0,25.0
q_0_age_answer,36-50,0.13,1.0,58.25,99.0,36.0
q_0_age_answer,19-25,0.18,1.0,55.02,82.0,37.0
q_0_age_answer,26-35,0.23,1.0,56.23,182.0,40.0
q_0_school_answer,"Postgrad. or professional schooling, no degree",-0.24,-1.0,54.72,21.0,18.0
q_0_school_answer,Postgrad. or professional degree (etc.),0.08,0.0,54.63,75.0,33.0
q_0_school_answer,4 year college/bachelor degree,0.14,1.0,56.06,200.0,40.0
q_0_school_answer,Some college (etc.),0.38,1.0,60.5,76.0,35.0
q_0_school_answer,High school graduate or GED (etc.),0.46,1.0,54.96,28.0,21.0
q_0_taxes_answer,"10,000 to less than 20,000",-0.12,-0.5,57.58,26.0,23.0
q_0_taxes_answer,"75,000 to less than 100,000",0.03,0.0,54.83,73.0,34.0
q_0_taxes_answer,"30,000 to less than 40,000",0.14,1.0,56.14,56.0,29.0
q_0_taxes_answer,"40,000 to less than 50,000",0.18,0.0,56.47,60.0,33.0
q_0_taxes_answer,"50,000 to less than 75,000",0.21,1.0,55.23,95.0,38.0
q_0_taxes_answer,"150,000 or more",0.24,1.0,61.43,21.0,16.0
q_0_taxes_answer,"Less than 10,000",0.25,1.0,57.23,16.0,11.0
q_0_taxes_answer,"20,000 to less than 30,000",0.28,1.0,64.75,25.0,18.0
q_0_taxes_answer,"100,000 to less than 150,000",0.57,1.0,53.32,28.0,20.0
q_0_political_views_answer,Very conservative,-0.35,-1.0,55.71,49.0,29.0
q_0_political_views_answer,Conservative,0.05,0.5,58.34,64.0,32.0
q_0_political_views_answer,Moderate,0.23,1.0,57.21,93.0,40.0
q_0_political_views_answer,Liberal,0.32,1.0,55.93,127.0,40.0
q_0_political_views_answer,Very liberal,0.33,1.0,55.37,67.0,29.0
q_0_consideration_answer,Republican,-0.11,-1.0,56.04,112.0,40.0
q_0_consideration_answer,Democrat,0.25,1.0,56.78,184.0,40.0
q_0_consideration_answer,Independent,0.33,1.0,56.75,96.0,40.0
q_0_consideration_answer,Something else,0.5,1.0,53.16,8.0,8.0
q_0_southern_border_answer,Agree,-0.19,-1.0,58.43,167.0,40.0
q_0_southern_border_answer,No opinion either way,0.07,1.0,54.08,28.0,20.0
q_0_southern_border_answer,Disagree,0.48,1.0,55.24,205.0,40.0
q_0_environment_answer,Agree,0.17,1.0,56.1,334.0,40.0
q_0_environment_answer,Disagree,0.21,1.0,57.89,39.0,23.0
q_0_environment_answer,No opinion either way,0.22,1.0,59.35,27.0,21.0
q_1_farmers_value,wrong value,0.02,0.0,57.42,203.0,40.0
q_1_farmers_value,correct value,0.34,1.0,55.53,197.0,40.0
q_2_marks_value,wrong value,0.17,1.0,57.0,271.0,40.0
q_2_marks_value,correct value,0.19,1.0,55.43,129.0,39.0
q_3_athletics_value,wrong value,0.1,0.5,57.87,234.0,40.0
q_3_athletics_value,correct value,0.28,1.0,54.55,166.0,40.0
doc_index,6,-0.17,-1.0,61.68,30.0,16.0
doc_index,3,-0.16,-1.0,58.15,25.0,15.0
doc_index,10,0.0,0.0,54.35,69.0,29.0
doc_index,0,0.07,0.5,58.27,30.0,24.0
doc_index,5,0.1,0.0,58.99,29.0,15.0
doc_index,1,0.18,1.0,55.46,33.0,24.0
doc_index,7,0.26,1.0,58.45,27.0,16.0
doc_index,8,0.29,1.0,54.19,48.0,27.0
doc_index,2,0.37,1.0,53.83,35.0,26.0
doc_index,4,0.46,1.0,63.54,24.0,16.0
doc_index,9,0.46,1.0,53.3,50.0,22.0
doc_name,REP,0.06,0.0,59.75,90.0,9.0
doc_name,DEM,0.19,1.0,58.44,130.0,13.0
doc_name,Labor,0.2,1.0,51.1,90.0,9.0
doc_name,Liberal,0.24,1.0,55.81,90.0,9.0
doc_claimant,Graeme Zielinski,-1.0,-1.0,46.1,10.0,1.0
doc_claimant,Barry O'Farrell,-0.89,-1.0,60.65,9.0,1.0
doc_claimant,Dean Cannon,-0.7,-1.0,60.99,10.0,1.0
doc_claimant,Alan Grayson,-0.5,-1.0,62.01,10.0,1.0
doc_claimant,Paul Hirschbiel,-0.5,-1.0,71.82,10.0,1.0
doc_claimant,Michelle Rowland,-0.5,-1.0,40.01,10.0,1.0
doc_claimant,Lena Taylor,-0.4,-1.0,66.74,10.0,1.0
doc_claimant,Jason Isaac,-0.4,-1.0,61.67,10.0,1.0
doc_claimant,Scott Walker,-0.3,-0.5,66.74,10.0,1.0
doc_claimant,Josh Mandel,-0.3,-1.0,25.12,10.0,1.0
doc_claimant,Ron Desantis,-0.1,-0.5,65.05,10.0,1.0
doc_claimant,Scott Morrison,0.0,0.0,59.3,10.0,1.0
doc_claimant,Yvette Mcgee Brown,0.2,1.0,78.25,10.0,1.0
doc_claimant,Anthony Albanese,0.2,1.0,48.81,10.0,1.0
doc_claimant,Tony Abbott,0.27,1.0,57.27,30.0,3.0
doc_claimant,Kevin Rudd,0.28,1.0,54.02,50.0,5.0
doc_claimant,Gina Raimondo,0.3,1.0,32.9,10.0,1.0
