dimension,value_1,value_2,pval_res,pval_bonf,significant_005,significant_bonf
current_try,1,2,0.3535232549352615,0.016666666666666666,no,no
current_try,1,3,0.3535232549352615,0.016666666666666666,no,no
current_try,2,3,1.0,0.016666666666666666,no,no
q_0_age_answer,26-35,50-80,0.21945146743337673,0.008333333333333333,no,no
q_0_age_answer,26-35,36-50,0.29279542346316034,0.008333333333333333,no,no
q_0_age_answer,26-35,19-25,0.17153862845156098,0.008333333333333333,no,no
q_0_age_answer,50-80,36-50,0.640428787412791,0.008333333333333333,no,no
q_0_age_answer,50-80,19-25,0.7844489661128652,0.008333333333333333,no,no
q_0_age_answer,36-50,19-25,0.7902309999133474,0.008333333333333333,no,no
q_0_school_answer,Some college (etc.),Postgrad. or professional degree (etc.),0.7587477420409109,0.005,no,no
q_0_school_answer,Some college (etc.),4 year college/bachelor degree,0.42145829599700113,0.005,no,no
q_0_school_answer,Some college (etc.),High school graduate or GED (etc.),0.596695600165335,0.005,no,no
q_0_school_answer,Some college (etc.),"Postgrad. or professional schooling, no degree",0.09641221930690885,0.005,no,no
q_0_school_answer,Postgrad. or professional degree (etc.),4 year college/bachelor degree,0.7029939364789122,0.005,no,no
q_0_school_answer,Postgrad. or professional degree (etc.),High school graduate or GED (etc.),0.4425821571576366,0.005,no,no
q_0_school_answer,Postgrad. or professional degree (etc.),"Postgrad. or professional schooling, no degree",0.1513454125431232,0.005,no,no
q_0_school_answer,4 year college/bachelor degree,High school graduate or GED (etc.),0.22582832928601515,0.005,no,no
q_0_school_answer,4 year college/bachelor degree,"Postgrad. or professional schooling, no degree",0.17914693074294286,0.005,no,no
q_0_school_answer,High school graduate or GED (etc.),"Postgrad. or professional schooling, no degree",0.05977540161968563,0.005,no,no
q_0_taxes_answer,"30,000 to less than 40,000","100,000 to less than 150,000",0.9253547040454565,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","75,000 to less than 100,000",0.2939869420643093,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","50,000 to less than 75,000",0.1548881531404482,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","40,000 to less than 50,000",0.11847628596275252,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","Less than 10,000",0.4860547025729891,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","10,000 to less than 20,000",0.39220849001038915,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","20,000 to less than 30,000",0.40379601535164866,0.001388888888888889,no,no
q_0_taxes_answer,"30,000 to less than 40,000","150,000 or more",0.15489864464442724,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","75,000 to less than 100,000",0.4289665220128429,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","50,000 to less than 75,000",0.27708890504208494,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","40,000 to less than 50,000",0.2221422175284471,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","Less than 10,000",0.48616047524044337,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","10,000 to less than 20,000",0.4917897956937187,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","20,000 to less than 30,000",0.5122445326304794,0.001388888888888889,no,no
q_0_taxes_answer,"100,000 to less than 150,000","150,000 or more",0.20124262095772383,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","50,000 to less than 75,000",0.7803169674453665,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","40,000 to less than 50,000",0.6520693498984774,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","Less than 10,000",0.1266186922249178,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","10,000 to less than 20,000",0.9467021186942787,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","20,000 to less than 30,000",1.0,0.001388888888888889,no,no
q_0_taxes_answer,"75,000 to less than 100,000","150,000 or more",0.38316824091484303,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","40,000 to less than 50,000",0.8512018302733386,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","Less than 10,000",0.06517028298358676,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","10,000 to less than 20,000",0.9062974426523221,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","20,000 to less than 30,000",0.8269793037158323,0.001388888888888889,no,no
q_0_taxes_answer,"50,000 to less than 75,000","150,000 or more",0.45185335337715693,0.001388888888888889,no,no
q_0_taxes_answer,"40,000 to less than 50,000","Less than 10,000",0.050479036797772346,0.001388888888888889,no,no
q_0_taxes_answer,"40,000 to less than 50,000","10,000 to less than 20,000",0.8014058401716189,0.001388888888888889,no,no
q_0_taxes_answer,"40,000 to less than 50,000","20,000 to less than 30,000",0.7185637034249689,0.001388888888888889,no,no
q_0_taxes_answer,"40,000 to less than 50,000","150,000 or more",0.5129136712327126,0.001388888888888889,no,no
q_0_taxes_answer,"Less than 10,000","10,000 to less than 20,000",0.19781368041731873,0.001388888888888889,no,no
q_0_taxes_answer,"Less than 10,000","20,000 to less than 30,000",0.1968132485465881,0.001388888888888889,no,no
q_0_taxes_answer,"Less than 10,000","150,000 or more",0.08639896961408328,0.001388888888888889,no,no
q_0_taxes_answer,"10,000 to less than 20,000","20,000 to less than 30,000",0.9626339278633297,0.001388888888888889,no,no
q_0_taxes_answer,"10,000 to less than 20,000","150,000 or more",0.47021040747471776,0.001388888888888889,no,no
q_0_taxes_answer,"20,000 to less than 30,000","150,000 or more",0.4244283920268531,0.001388888888888889,no,no
