file,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
medical_1,wrong_15,Mass vaccination for COVID19 in Senegal was started yesterday 48 and the first 7 CHILDREN who received it DIED on the spotâ,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.40),No opinion either way (0.60),Agree (2.00),wrong value (0.50),wrong value (0.00),wrong value (0.40),3.8,1.8,1.2,66.07,1.6,116.983,false_doc9,Facebook Post,10/4/2020,Facebook Posts,FALSE
medical_1,wrong_15,Says a5G LAW PASSED while everyone was distractedï½ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),4.0,2.8,1.0,34.26,1.8,234.682,mostly-false_doc9,Facebook Post,2020-28-03,Facebook Posts,mostly-false
medical_1,wrong_15,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),4.3,3.1,1.0,52.19,1.9,161.411,half-true_doc9,Facebook Post,7/4/2020,Facebook posts,half-true
medical_2,wrong_15,Post saysthe blood test for coronavirus costs 3200â,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.1,2.1,1.1,88.74,1.5,95.849,mostly-false_doc6,Facebook Post,2020-27-02,Facebook Posts,mostly-false
medical_2,wrong_15,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),4.6,2.1,1.0,44.75,1.5,171.044,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true
medical_2,wrong_15,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyâ for the coronavirus,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),3.1,3.4,1.1,1.43,1.6,120.499,true_doc8,Dan Crenshaw,2020-13-03,Tweet,TRUE
medical_2,wrong_15,Says for otherwise healthy peopleexperiencing mild to moderate respiratory symptoms with or without a COVID19 diagnosisonly high temperatures kill a virus so let your fever run highâ but not over 103 or 104 degrees,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.2,3.1,1.1,28.51,2.1,144.27,mostly-false_doc10,Facebook Post,2020-28-03,Facebook Posts,mostly-false
medical_3,wrong_15,Saysthere is noâ COVID19 virus,1.3,26-35 (1.30),"Postgrad. or professional schooling, no degree (3.00)","50,000 to less than 75,000 (4.90)",Conservative (1.30),Democrat (0.90),No opinion either way (1.40),Agree (2.00),correct value (0.60),wrong value (0.40),wrong value (0.40),3.4,2.0,1.6,116.352,2.0,172.19400000000002,pants-on-fire_doc3,Facebook User,2020-19-03,Facebook Post,pants-on-fire
medical_3,wrong_15,Says COVID19 came to the United States in 2019,1.1,36-50 (1.60),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (2.00),wrong value (0.20),wrong value (0.30),wrong value (0.30),3.6,3.1,1.1,104.64,2.1,136.662,false_doc7,Bloggers,2020-20-03,Article,FALSE
medical_3,wrong_15,Says most NC legislators are in the high risk age group for coronavirus,1.1,26-35 (1.40),"Postgrad. or professional schooling, no degree (2.70)","40,000 to less than 50,000 (3.90)",Conservative (1.30),Democrat (0.70),Agree (1.90),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.40),3.3,2.9,1.1,75.2,2.1,150.225,true_doc4,Kelly Alexander,2020-14-03,Tweet,TRUE
medical_4,wrong_15,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesâ the coronavirus,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),3.7,2.7,1.6,41.36,2.1,154.24200000000002,false_doc5,Viral Image,2020-13-03,Viral Image,FALSE
medical_4,wrong_15,No city in the state can quarantine itself without state approval,1.7,36-50 (1.80),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (4.10)",Moderate (1.60),Democrat (0.80),Agree (1.60),Agree (2.00),wrong value (0.30),wrong value (0.10),wrong value (0.10),4.7,2.9,1.6,68.77,2.1,96.674,true_doc3,Andrew Cuomo,2020-17-03,News Conference,TRUE
medical_4,wrong_15,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),3.4,3.8,1.7,72.5,2.8,133.3011111111111,false_doc3,Facebook Post,2020-23-03,Chain Message,FALSE
