batch,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
1,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.6,4.5,1.0,48.47,0.5,150.816,true_doc1,Facebook Post,2/4/2020,Facebook Posts,TRUE
1,Says of President Donald Trumpâs actions on the coronavirusNo 1 he fired the pandemic team two years ago No 2 hes been defunding the Centers for Disease Controlâ,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.40),No opinion either way (0.60),Agree (2.00),wrong value (0.50),wrong value (0.00),wrong value (0.40),2.8,3.3,1.2,51.52,1.1,202.59699999999998,half-true_doc7,Michael Bloomberg,2020-26-02,CNN Town Hall,half-true
1,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),4.0,4.1,1.4,48.13,1.1,294.571,half-true_doc3,Facebook Post,2020-15-03,Facebook Posts,half-true
1,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),4.3,3.1,1.0,52.19,1.9,161.411,half-true_doc9,Facebook Post,7/4/2020,Facebook posts,half-true
2,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),4.0,2.6,1.1,48.13,0.4,213.712,half-true_doc3,Facebook Post,2020-15-03,Facebook Posts,half-true
2,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.6,4.2,1.1,48.47,0.8,147.123,true_doc1,Facebook Post,2/4/2020,Facebook Posts,TRUE
2,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),4.3,2.9,1.0,52.19,1.3,183.75500000000002,half-true_doc9,Facebook Post,7/4/2020,Facebook posts,half-true
2,Says of President Donald Trumpâs actions on the coronavirusNo 1 he fired the pandemic team two years ago No 2 hes been defunding the Centers for Disease Controlâ,1.0,26-35 (1.40),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.70),Independent (1.50),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.50),2.8,2.2,1.0,51.52,1.4,164.442,half-true_doc7,Michael Bloomberg,2020-26-02,CNN Town Hall,half-true
3,So Oscar Health the company tapped by Trump to profit from covid tests is a Kushner company Imagine that profits over national safety,1.3,36-50 (1.70),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.50),Republican (0.50),Agree (1.90),Agree (1.80),wrong value (0.20),wrong value (0.10),wrong value (0.50),4.0,3.2,1.3,48.13,0.6,163.06199999999998,half-true_doc3,Facebook Post,2020-15-03,Facebook Posts,half-true
3,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.2,26-35 (0.90),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (3.90)",Moderate (2.30),Democrat (1.10),No opinion either way (1.10),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),2.6,4.2,1.0,48.47,0.8,128.18,true_doc1,Facebook Post,2/4/2020,Facebook Posts,TRUE
