type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_date,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,fre,doc_time_elapsed,doc_name,doc_claimant
correct_false_politifact_5,Says Barack Obama sold Chrysler to Italians who are going to build Jeeps in China at the cost of American jobs,1,36-50 (1.60),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),No opinion either way (0.70),No opinion either way (1.20),wrong value (0.50),correct value (0.60),correct value (0.60),4,2012,-0.8,-0.7,-0.8,-1.1,1.1,1.3,-0.6,-0.2,0.4,1,75.54,141.754,REP_LIE_doc5,Mitt Romney
correct_false_politifact_5,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,1,36-50 (1.50),"Postgrad. or professional schooling, no degree (2.70)","50,000 to less than 75,000 (4.70)",Liberal (2.80),Democrat (1.00),No opinion either way (0.70),Agree (1.80),correct value (0.60),correct value (0.70),correct value (0.90),4,2012,-0.8,0,-0.8,-1,1.4,0.4,0.1,-0.8,-0.1,1,46.1,146.641,DEM_LIE_doc10,Graeme Zielinski
correct_false_politifact_5,Virginia papers called Scott Rigells campaign Mostly False,1,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.30)",Moderate (2.40),Democrat (1.10),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.10),wrong value (0.30),5.4,2012,-0.4,0.1,0,0,0.1,0.3,-0.1,0.3,0.3,1,71.82,105.366,DEM_LIE_doc5,Paul Hirschbiel
correct_false_politifact_5,Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state,1,26-35 (1.30),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.90),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),4.3,2014,-0.1,0.4,-0.1,-0.6,1,1,0.3,-0.3,0.5,1,75.54,122.464,DEM_LIE_doc2,Mary Burke
correct_false_politifact_5,The National Science Foundation spent 12 million paying seniors to play World of Warcraft to study the impact it had on their brain,1,26-35 (0.90),4 year college/bachelor degree (1.60),"30,000 to less than 40,000 (3.40)",Moderate (2.50),Democrat (1.40),No opinion either way (0.60),Agree (1.90),wrong value (0.50),wrong value (0.10),wrong value (0.40),4.5,2013,-0.1,0.3,-0.2,0.5,1.1,0.7,0.6,-0.4,0.6,1.2,65.05,110.951,REP_LIE_doc7,Eric Cantor
correct_true_politifact_5,According to Wikipedia there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth,1,36-50 (1.50),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.80),Agree (1.90),wrong value (0.40),wrong value (0.20),wrong value (0.30),5.6,2011,1.1,0.7,1.1,0.8,1,1,0.7,0.7,1.3,1,62.01,86.758,DEM_TRUE_doc1,Alan Grayson
correct_true_politifact_5,Health insurance premiums have almost doubledsince 2000,1,26-35 (1.40),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (0.90),No opinion either way (1.10),Agree (1.50),correct value (0.70),wrong value (0.20),wrong value (0.40),3.3,2007,1.1,0.3,0.8,0.5,1.3,0.9,0.6,0.3,1,1,38.99,91.17,DEM_TRUE_doc3,Hillary Clinton
correct_true_politifact_5,The War in Afghanistan is officially the longest war Americans have ever been asked to endure,1,26-35 (0.90),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.90)",Moderate (2.10),Democrat (1.00),No opinion either way (1.20),Agree (1.70),wrong value (0.50),wrong value (0.30),wrong value (0.30),5.1,2010,1.1,0.7,0.5,0.9,1.1,0.6,0.9,0.8,0.6,1.1,63.7,75.608,DEM_TRUE_doc9,Dennis Kucinich
correct_true_politifact_5,The first professional baseball team was from an Ohio city,1,26-35 (1.40),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.10),Democrat (0.90),No opinion either way (1.20),Agree (1.80),wrong value (0.40),wrong value (0.30),wrong value (0.20),5.2,2010,1.1,0.6,0.9,0.9,1.4,1.3,0.6,1,1.2,1,78.25,78.606,DEM_TRUE_doc4,Yvette Mcgee Brown
correct_true_politifact_5,In Cuyahoga County56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population,1.1,26-35 (0.80),4 year college/bachelor degree (2.10),"50,000 to less than 75,000 (5.10)",Liberal (2.90),Democrat (1.30),Disagree (0.40),Agree (2.00),correct value (0.60),wrong value (0.30),wrong value (0.40),3.7,2012,1.6,0.1,1.2,1.4,1.5,1.5,0.7,1,1.4,1,39.67,102.709,DEM_TRUE_doc7,Marcia Fudge
wrong_false_politifact_5,Says a Senate resolution would restore 140 in monthly general assistance payments and prevent people from committing crime,1,26-35 (1.40),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.10),Democrat (0.90),No opinion either way (1.20),Agree (1.80),wrong value (0.40),wrong value (0.30),wrong value (0.20),4.4,2011,0.4,-0.4,0.4,0.6,0.4,0.6,-0.2,0.1,0.3,1,36.28,159.884,DEM_LIE_doc4,Sandra Cunningham
wrong_false_politifact_5,The WIC program is an incredibly cost effective program serving nearly 10 million Americans each year and costing less than 100 per person In my district more than 18 percent of residents suffer from food insecurity and depend on WIC to make ends meet,1,26-35 (1.20),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (3.90)",Liberal (2.90),Democrat (1.00),Disagree (0.20),Agree (1.80),correct value (0.80),wrong value (0.40),wrong value (0.50),5.9,2011,0.7,0,1,0.8,1.6,1.2,1,0.7,1,1,35.28,132.129,DEM_LIE_doc3,David Cicilline
wrong_false_politifact_5,Hitler abolished unions and thats what Wisconsin Gov Scott Walker is doing today,1,36-50 (1.50),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.80),Agree (1.90),wrong value (0.40),wrong value (0.20),wrong value (0.30),4.7,2011,0.8,0.6,0.5,0.4,1,0.8,0.2,0.8,1.2,1,66.74,127.169,DEM_LIE_doc1,Lena Taylor
wrong_false_politifact_5,Residential property taxes in Providence are up nearly 27 percent under Mayor Taveras,1,26-35 (0.90),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (4.30)",Moderate (2.20),Democrat (1.00),No opinion either way (0.60),Agree (2.00),wrong value (0.50),wrong value (0.30),wrong value (0.50),5.2,2014,0.8,-0.4,0.5,-0.3,1.1,0.8,0.3,0.4,0.4,1,32.9,123.084,DEM_LIE_doc8,Gina Raimondo
wrong_false_politifact_5,Says I was the first governor in America to endorse Mitt Romney,1,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Moderate (1.70),Democrat (1.10),No opinion either way (0.90),Agree (1.90),wrong value (0.20),wrong value (0.20),wrong value (0.20),4.3,2012,1.1,0.7,0.5,0.4,0.7,1,0.5,0.8,0.5,1,67.76,112.712,REP_LIE_doc8,Chris Christie
wrong_true_politifact_5,The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance,1,19-25 (0.50),4 year college/bachelor degree (1.70),"30,000 to less than 40,000 (3.10)",Liberal (2.70),Democrat (1.20),No opinion either way (0.90),Agree (1.70),wrong value (0.40),wrong value (0.20),wrong value (0.30),4.5,2013,0,-0.2,-0.4,0.1,0.8,0.7,0.7,0.2,0.3,1,65.05,127.019,REP_TRUE_doc2,Ron Desantis
wrong_true_politifact_5,Wisconsin is 1 in the Midwest for personal income growth over the year,1,36-50 (1.60),4 year college/bachelor degree (2.40),"75,000 to less than 100,000 (5.50)",Moderate (1.60),Democrat (0.60),No opinion either way (1.40),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.20),4.4,2014,0,-0.5,0.1,0,1.1,0.6,0.1,0.1,0.5,1,66.74,159.17,REP_TRUE_doc9,Scott Walker
wrong_true_politifact_5,Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect,1,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Moderate (1.70),Democrat (1.10),No opinion either way (0.90),Agree (1.90),wrong value (0.20),wrong value (0.20),wrong value (0.20),5.5,2011,0.2,-0.3,0.2,0.2,1.1,0.3,0,0.4,0.3,1.1,25.12,146.819,REP_TRUE_doc8,Josh Mandel
wrong_true_politifact_5,98 percent of small businesses make less than 250000 and would not see a tax increase under Barack Obamas plan,1,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.30)",Moderate (2.40),Democrat (1.10),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.10),wrong value (0.30),5.9,2008,0.3,0.2,0,0.4,0.7,0.6,0.1,0.5,0.4,1.1,76.56,100.759,DEM_TRUE_doc5,Barack Obama
wrong_true_politifact_5,Says Rep Jim Weidner proposed a bill taking away health care for 80000 of Oregons children,1,36-50 (1.50),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (4.70)",Moderate (2.00),Democrat (0.70),No opinion either way (0.90),Agree (1.80),correct value (0.70),wrong value (0.30),wrong value (0.30),4.9,2010,0.3,-0.4,0,-0.5,0.6,0.2,-0.5,-0.5,0.2,1,72.16,178.947,DEM_TRUE_doc10,Blue Oregon
